# Port-to-Service mapping file
# Format: port,service
# Lines starting with # are comments
# Edit this file to add or remove port mappings
1,TCPMUX
5,RJE
7,Echo
9,Discard
11,SYSTAT
13,Daytime
17,QOTD
18,MSP
19,Chargen
20,FTP-Data
21,FTP
22,SSH
23,Telnet
25,SMTP
29,MSG-ICP
31,MSG-Auth
33,DSP
37,Time
42,Nameserver
43,WHOIS
49,TACACS
50,Re-Mail-CK
53,DNS
57,MTP
67,DHCP-Server
68,DHCP-Client
69,TFTP
70,Gopher
79,Finger
80,HTTP
87,TTYLink
88,Kerberos
95,SUPDUP
101,HOSTNAME
102,ISO-TSAP
104,ACR-NEMA
105,CSNET-NS
107,RTelnet
108,SNA-Gateway
109,POP2
110,POP3
111,RPCBind
113,Ident
115,SFTP
117,UUCP-Path
118,SQL-Services
119,NNTP
123,NTP
126,NXEdit
129,PWDGEN
135,MSRPC
137,NetBIOS-NS
138,NetBIOS-DGM
139,NetBIOS-SSN
143,IMAP
152,BFTP
153,SGMP
156,SQL-Server
158,DMSP
161,SNMP
162,SNMP-Trap
170,Print-Server
177,XDMCP
179,BGP
194,IRC
199,SMUX
201,AppleTalk-Routing
209,QMTP
210,Z39.50
213,IPX
218,MPP
220,IMAP3
256,FW1-SecuRemote
259,ESRO
264,BGMP
311,macOS-Server-Admin
318,PKIX-TSP
323,IMMP
350,MATIP-Type-A
351,MATIP-Type-B
366,ODMR
369,Rpc2portmap
370,codaauth2
371,ClearCase
383,HP-Alarm-Manager
384,ARNS
387,AURP
389,LDAP
401,UPS
411,Direct-Connect
412,SMSP
427,SLP
443,HTTPS
444,SNPP
445,Microsoft-DS
464,Kerberos-Changepw
465,SMTPS
475,Cybercash
491,GO-Login
497,Retrospect
500,ISAKMP
502,Modbus
504,Citadel
510,FirstClass
512,Rexec
513,Rlogin
514,Syslog
515,LPD
517,Talk
518,NTalk
520,RIP
521,RIPng
524,NCP
525,Timed
530,RPC
531,AOL-Chat
532,Netnews
533,Netwall
540,UUCP
543,Klogin
544,Kshell
545,OSISoft-PI
548,AFP
554,RTSP
556,Remotefs
560,RMonitor
561,Monitor
563,NNTPS
587,SMTP-Submission
591,FileMaker
593,MS-DCOM
601,Syslog-TLS
604,TUNNEL
631,IPP
636,LDAPS
639,MSDP
646,LDP
647,DHCP-Failover
648,RRP
651,IEEE-MMS
653,SupportSoft
654,AODV
655,Tinc-VPN
657,RMC
660,macOS-Server
666,Doom
674,ACAP
688,REALM-RUSD
690,VATP
691,MS-Exchange-Routing
694,Linux-HA
695,IEEE-MMS-SSL
698,OLSR
700,EPP
701,LMP
702,IRIS-BEEP
706,SILC
711,TDP
712,TBRPF
720,SMQP
749,Kerberos-Admin
750,Kerberos-IV
751,Kerberos-Master
752,Kerberos-Passwd
753,RRH
754,KRB-Prop
760,Krbupdate
782,Conserver
783,SpamAssassin
800,MDN
808,CCProxy
843,Flash-Policy
860,iSCSI
861,OWAMP
862,TWAMP
873,Rsync
888,CDDB
897,Brocade-SMI-S
898,Brocade-SMI-S-HTTPS
900,OMG-CORBA
901,SWAT
902,VMware-Auth
903,VMware-Remote
910,KINK
911,XACT-Backup
953,RNDC
981,SofaWare-Firewall
989,FTPS-Data
990,FTPS
991,Netnews-Admin
992,TelnetS
993,IMAPS
994,IRCS
995,POP3S
1010,Surf
1023,Reserved
1024,KDMCFG
1025,NFS-or-IIS
1026,LSA-or-CAP
1027,IIS
1029,Solid-Mux
1058,NIM
1059,NIMREG
1080,SOCKS
1083,Ansoft-License-Manager
1085,WebObjects
1098,RMI-Activation
1099,RMI-Registry
1100,MCTP
1109,KPOP
1110,NFA-or-WebEX
1119,Battle.net
1167,Phone
1169,Tripwire
1176,Indigo-Home
1177,DKMessenger
1194,OpenVPN
1198,Cajo-Discovery
1214,Kazaa
1220,QT-Server-Admin
1234,VLC-Stream
1241,Nessus
1248,Hermes
1270,SCOM
1311,RxMon
1313,BMC-PatrolAgent
1314,Festival-Speech
1337,Menandmice-DNS
1344,ICAP
1352,Lotus-Notes
1387,cadsi-lm
1414,IBM-MQSeries
1417,Timbuktu-SRV1
1418,Timbuktu-SRV2
1419,Timbuktu-SRV3
1420,Timbuktu-SRV4
1433,MSSQL
1434,MSSQL-Monitor
1443,IES-LM
1494,Citrix-ICA
1500,VP-Conf
1501,SAISCM
1503,Databeam
1512,WINS
1521,Oracle-DB
1524,Ingreslock
1525,Oracle-Srv
1526,Oracle-Listener
1527,TL-IPCPROXY
1530,RapService
1533,Virtual-Places
1556,Veritas-PBX
1580,tn-tl-r1
1583,Simba-Express
1594,SiXtreeGate
1604,Citrix-ICA-Disc
1645,RADIUS-Old
1646,RADIUS-Old-Acct
1649,Kermit
1666,Perforce
1677,GroupWise
1688,NSJTP-Data
1700,MPS-Raft
1701,L2TP
1716,America-Williams
1717,FJ-HDNET
1718,H.323-Gate-Disc
1719,H.323-Gate-Stat
1720,H.323-Call
1723,PPTP
1741,CiscoWorks
1755,MMS
1761,cft-0
1762,cft-1
1763,cft-2
1764,cft-3
1765,cft-4
1782,HP-Hcip
1783,FinJCOM
1801,MSMQ
1812,RADIUS
1813,RADIUS-Accounting
1863,MSNP
1880,Node-RED
1883,MQTT
1900,SSDP
1935,RTMP
1947,SentinelSRM
1967,Cisco-HSRP
1985,Cisco-HSRP
1998,Cisco-X25-SVC
2000,Cisco-SCCP
2001,Cisco-Globe
2002,Cisco-Globe
2003,Finger
2010,Search
2030,Device2
2049,NFS
2053,Lot105-DServer
2055,Ilix
2064,Distributed-Net
2065,DLSRPNd
2067,DLSwPN
2068,Advocate
2080,Autodesk-NLM
2083,cPanel-Secure
2086,WHM
2087,WHM-Secure
2095,cPanel-Webmail
2096,cPanel-Webmail-Secure
2100,Amiganetfs
2105,MiniPay
2106,MZAP
2108,Comcam
2111,DSATP
2119,GSIGATEKEEPER
2121,CCProxy-FTP
2135,Grid-Engine
2144,LiveLAN
2160,APC-Agent
2161,APC-Agent-HTTPS
2170,EyeTV
2181,ZooKeeper
2190,TiVoConnect
2191,TvBus
2196,Unknown-Doceri
2200,ICI
2222,SSH-Alt
2223,Rockwell-CSP2
2232,IVS-Video
2241,IVS-DM
2260,Aventail-EPN
2261,CoMotion-Master
2262,CoMotion-Backup
2301,Compaq-HTTP
2302,Halo
2323,3D-NFS
2362,DigiGram
2375,Docker-REST
2376,Docker-REST-SSL
2377,Docker-Swarm
2379,etcd-Client
2380,etcd-Peer
2381,Compaq-HTTPS
2382,SQL-MS-OLAP3
2383,SQL-MS-OLAP4
2393,MS-OLAP1
2394,MS-OLAP2
2399,FileMaker-Data
2401,CVSPServer
2433,CodasoftUDP
2456,Valheim
2500,RTS-Serv
2501,RTSClient
2525,SMTP-Alt
2557,XTRMS
2600,HPSTGMGR
2601,Zebra-Discard
2602,Zebra-Ripd
2603,Zebra-Ripngd
2604,Zebra-OSPFd
2605,Zebra-BGPd
2606,Zebra-OSPFd
2607,Dell-Connection
2608,Wag-Service
2638,Sybase
2710,SSO-Service
2717,PN-RequesterS
2718,PN-RequesterC
2809,Corba-LOC
2811,GSI-FTP
2947,GPSD
2967,Symantec-AV
3000,Grafana
3001,Nessus
3005,Deslogin
3006,Deslogind
3025,Arepa-Raft
3030,Arepa-Cas
3050,Firebird
3052,APC-PowerChute
3057,GoAhead
3071,XPlatform-CDS
3077,Orbix-Daemon
3100,OpCon-xps
3128,Squid-Proxy
3168,PowerOnContact
3200,SAP-GUI
3211,AVSECUREMGMT
3260,iSCSI-Target
3268,GlobalCat-LDAP
3269,GlobalCat-LDAPS
3283,Apple-Remote-Desktop
3290,CAPS-LM
3299,SAP-Router
3300,Ceph
3301,Tarantool
3306,MySQL
3307,OpsCenter-Agent
3310,ClamAV
3311,MCNSSecurityServer
3312,Appman-Server
3333,DEC-Notes
3351,Pervasive-BTRV
3367,VaiData
3369,SatvisionData
3389,RDP
3390,DBS-ALT
3396,Printer-Agent
3400,CSAuthd
3455,RSVP-Port
3456,IFCPPort
3457,VAT-Control
3458,d3winosfi
3478,STUN
3479,TWAMP-Control
3480,STUN-Behavior-Disc
3483,Slim-Devices
3493,NUT
3500,RTMP-Port
3516,Smartcard-Port
3522,NectarServer
3523,Odeumservlink
3524,ECM-Server
3531,JoltID
3532,RavEN
3541,VoiSPeed
3542,Hacl-CF
3551,ApcupsdNIS
3580,NATI-ServiceLocator
3600,SAP-Message
3632,Distcc
3659,Apple-SASL
3689,DAAP
3690,SVN
3702,WS-Discovery
3749,CimTrak
3768,RBlcheckd
3780,Nexpose
3784,BFD-Control
3785,BFD-Echo
3799,RADIUS-Dynauth
3800,PW-Callmgr
3801,IBMM-GR
3825,x509-IF
3826,WormUx
3827,Netmpi
3828,Neteh
3835,Spectar
3851,SpectraguardBD
3852,SpectraPort
3880,IGRS
3900,Unidata-UDT
3945,EMCADS
3960,ContentServer
3961,ProAxis-SRV
3962,SBI-Agent
3978,SecureLogMgr
3979,Open-Transport
3999,NormanDist
4000,ICQ
4022,Dnox
4040,Yo-Main
4045,Lockd
4050,Samsung-SCP
4063,Ice
4064,Ice-Alt
4070,Spotify-UPnP
4089,OpenCORE
4090,OMA-BCAST
4093,PxPlus-Encrypt
4096,BRE
4100,IGo-Incognito
4111,Xgrid
4116,SmartCard-TLS
4125,RWW
4190,ManageSieve
4197,HCD-PEP
4200,Angular-Dev-Server
4201,COAP
4222,NATS
4224,Xtell
4226,ALSI-LM
4242,Quasar
4243,CRM-Express
4244,VinaInstall
4300,Corel-VNC-Admin
4321,RWHOIS
4343,UniCall
4353,F5-iQuery
4369,EPMD
4370,ePublisher
4433,vop
4443,Pharos
4444,Krb524
4445,UPNOTIFYP
4446,N1-FWP
4500,IPSec-NAT-T
4502,Silverlight
4505,SaltStack-Pub
4506,SaltStack-Ret
4534,ArubaS-Auth
4560,Log4j-SocketServer
4567,Sinatra
4569,IAX
4590,RID
4600,Piranha1
4662,eDonkey
4672,RemNote
4711,Trinity-Dist
4712,Citrix-AppFlow
4730,Gearman
4739,IPFIX
4750,Blade-SE
4753,SIMON
4789,VXLAN
4840,OPC-UA-TCP
4843,OPC-UA-HTTPS
4848,Appserv-HTTP
4949,Munin
4999,HFCSManager
5000,UPnP
5001,Commplex-Link
5002,RFE
5003,FileMaker
5004,RTP
5005,RTP-Alt
5006,WSMS
5007,WSMS-Alt
5010,Telelpathstart
5050,Multimedia-Conf
5051,ITA-Agent
5060,SIP
5061,SIP-TLS
5080,OnScreen
5090,SymProxy
5093,Sentinel-LM
5099,SentLM-Srv2Srv
5100,ADM
5104,TingerPlatform
5108,VPFRAP
5150,Atmp
5151,ESRI-SDE
5152,SDT-LMD
5154,BZFlag
5190,AIM
5222,XMPP-Client
5223,XMPP-Client-SSL
5228,HP-Virtual-Room
5242,AttunedNEQ
5243,XYZ-LM
5269,XMPP-Server
5280,XMPP-BOSH
5298,Presence
5308,CFEngine
5310,Outlaws
5349,STUN-TLS
5350,NAT-PMP
5351,NAT-PMP
5353,mDNS
5355,LLMNR
5357,WSD-API
5400,PcAnywhere-Data
5405,NetSupport
5432,PostgreSQL
